4 48 5 0.000000	0.999374 0.001497	0.001251 0.002992	0.000313 0.000804	0.000834 0.002054	0.000150 0.000449	0.000685 0.002054	0.000938 0.002679	0.000789 0.002367	0.000834 0.002367	0.000000 0.000000	0.000418 0.001117	
4 48 5 0.010000	0.999999 0.000003	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 48 5 0.020000	0.999789 0.000633	0.000422 0.001265	0.000318 0.000953	0.000422 0.001265	0.000213 0.000640	0.000109 0.000328	0.000000 0.000000	0.000422 0.001265	0.000000 0.000000	0.000213 0.000640	0.000000 0.000000	
4 48 5 0.030000	0.999992 0.000021	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 48 5 0.040000	0.999784 0.000173	0.000432 0.000346	0.000108 0.000323	0.000324 0.000659	0.000327 0.000659	0.000000 0.000000	0.000327 0.000033	0.000324 0.000659	0.000432 0.000346	0.000327 0.000659	0.000104 0.000313	
4 48 5 0.050000	0.999581 0.001258	0.000838 0.002515	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000526 0.001577	0.000000 0.000000	
4 48 5 0.060000	0.999997 0.000008	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 48 5 0.070000	0.998982 0.003053	0.002032 0.006097	0.001199 0.003597	0.001303 0.003909	0.000000 0.000000	0.000574 0.001722	0.001095 0.003284	0.000000 0.000000	0.001095 0.003284	0.001199 0.003597	0.000991 0.002972	
4 48 5 0.080000	0.999998 0.000005	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 48 5 0.090000	0.999996 0.000011	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
4 48 5 0.100000	0.999060 0.002821	0.001878 0.005635	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	0.000000 0.000000	
